"","Dia","Mes","Anio","pred"
"106","09","5","12",1167.02492972714
"107","10","5","12",1277.85985254417
"108","11","5","12",1275.45651423154
"109","12","5","12",357.47787040016
"110","14","5","12",874.716391553878
"111","15","5","12",1048.83898739584
"112","16","5","12",1162.05552665874
"113","17","5","12",1214.09846713738
"114","18","5","12",1237.68945528689
"115","19","5","12",349.652596184304
"116","22","5","12",1042.93090636776
"117","23","5","12",1230.34024684079
"118","24","5","12",1198.60881824657
"119","25","5","12",1309.90644022129
"120","26","5","12",416.178152516168
"121","28","5","12",1096.01459827474
"122","29","5","12",1421.46787173565
"123","30","5","12",1707.47552644711
"124","31","5","12",1471.01880136748
"125","01","6","12",1027.02561746108
"126","02","6","12",118.660341849672
"127","04","6","12",746.619372993652
"128","05","6","12",952.764429937174
"129","06","6","12",1134.75791509035
"130","07","6","12",1196.13180794842
"131","08","6","12",1256.71659914958
"132","09","6","12",334.738213970248
"133","12","6","12",1044.46559264921
"134","13","6","12",1211.35736326313
"135","14","6","12",1251.15078595386
"136","15","6","12",1261.92843357593
"137","16","6","12",329.76881090184
"138","19","6","12",1036.64031843336
"139","20","6","12",1178.50318978007
"140","21","6","12",1216.24055001493
"141","22","6","12",1256.02035254785
"142","23","6","12",398.053531083896
"143","25","6","12",892.14709191775
"144","26","6","12",1103.16587476522
"145","27","6","12",1348.92351826349
"146","28","6","12",1472.44899267472
"147","29","6","12",1634.55731791574
"148","30","6","12",875.188810690215
"149","03","7","12",901.080244696791
"150","04","7","12",1096.35909370666
"151","05","7","12",1141.48372013261
"152","06","7","12",1219.5031656815
"153","07","7","12",337.150418504551
"154","09","7","12",834.010832014754
"155","10","7","12",1105.86618534935
"156","11","7","12",1207.43688664102
"157","12","7","12",1233.18488284465
"158","13","7","12",1296.10261385428
"159","14","7","12",392.169396509996
"160","16","7","12",829.041428946347
"161","17","7","12",1042.10479994256
"162","18","7","12",1169.66982769637
"163","19","7","12",1225.35960862879
"164","21","7","12",357.259160571069
"165","23","7","12",897.326149128402
"166","24","7","12",1026.61515105175
"167","25","7","12",1241.88681263076
"168","26","7","12",1291.88516496066
"169","27","7","12",1433.66876885464
"170","28","7","12",613.467603230856
"171","30","7","12",1374.46142873472
"172","31","7","12",1299.02513417267
"173","01","8","12",971.352504487765
"174","02","8","12",1006.71386891137
"175","03","8","12",1126.51620549409
"176","04","8","12",276.418892566977
"177","06","8","12",814.090331995173
"178","08","8","12",1201.04348617627
"179","09","8","12",1222.79174103195
"180","10","8","12",1331.30214614665
"181","11","8","12",387.496685501333
"182","13","8","12",890.689780167948
"183","14","8","12",1091.50363337625
"184","15","8","12",1206.25532060261
"185","16","8","12",1217.82233796354
"186","17","8","12",1267.54076073986
"187","18","8","12",349.729626556678
"188","21","8","12",1056.59339743733
"189","22","8","12",1200.34723957453
"190","23","8","12",1286.10705814559
"191","24","8","12",1252.05111184905
"192","25","8","12",421.946611491076
"193","27","8","12",1028.25593516831
"194","28","8","12",1312.80184009711
"195","29","8","12",1578.88420494243
"196","30","8","12",1763.24233775191
"197","31","8","12",1524.46109496996
"198","01","9","12",137.334536525764
"199","03","9","12",707.025604985444
"200","04","9","12",961.675362610923
"201","05","9","12",1108.44951093884
"202","06","9","12",1188.79347419005
"203","07","9","12",1247.84284934579
"204","08","9","12",367.025518214264
"205","10","9","12",911.811545638003
"206","11","9","12",1072.75315554528
"207","12","9","12",1200.15067365088
"208","13","9","12",1265.39292236283
"209","14","9","12",1302.86182735124
"210","15","9","12",372.237352640611
"211","17","9","12",848.050160231214
